veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
2.77,0.785763176,0,0,0,STNWG,3,F,C,5
2.01,0.906228611,0,0,0,SEDAN,2,F,D,3
0.54,0.298425736,0,0,0,HBACK,4,M,C,2
0.84,0.925393566,0,0,0,HBACK,4,F,A,4
0.91,0.851471595,0,0,0,HBACK,3,F,A,3
1.63,0.525667351,0,0,0,HBACK,2,M,C,4
3.46,0.238193019,0,0,0,SEDAN,2,M,C,4
0.97,0.147843943,0,0,0,SEDAN,3,F,C,4
1.72,0.147843943,0,0,0,SEDAN,2,M,A,5
3.57,0.908966461,0,0,0,UTE,2,M,E,5
0.44,0.922655715,0,0,0,SEDAN,4,M,A,4
3.43,0.224503765,0,0,0,UTE,1,F,C,1
2,0.906228611,0,0,0,HBACK,2,F,A,4
2.76,0.906228611,0,0,0,STNWG,1,F,C,5
4.349,0.509240246,0,0,0,UTE,1,M,A,5
1.14,0.911704312,1,2,1043.699999,SEDAN,3,F,C,4
0.79,0.908966461,0,0,0,UTE,4,F,B,5
1.83,0.777549624,0,0,0,STNWG,3,F,C,2
1.07,0.224503765,0,0,0,STNWG,4,F,E,3
1.3,0.317590691,0,0,0,SEDAN,3,F,B,4
1.4,0.807665982,0,0,0,SEDAN,3,M,A,5
1.95,0.643394935,0,0,0,SEDAN,1,F,C,6
1.88,0.90349076,0,0,0,HBACK,3,M,B,5
1.63,0.221765914,0,0,0,HBACK,2,F,C,3
2.84,0.643394935,0,0,0,STNWG,3,M,B,5
2.21,0.150581793,0,0,0,UTE,2,M,B,2
2.78,0.848733744,0,0,0,TRUCK,3,M,E,4
1.52,0.643394935,0,0,0,SEDAN,3,M,D,3
5.97,0.837782341,0,0,0,SEDAN,1,F,A,2
4.4,0.900752909,0,0,0,STNWG,2,F,F,3
2.76,0.851471595,0,0,0,STNWG,1,F,F,1
1.11,0.246406571,0,0,0,STNWG,3,F,D,3
4.48,0.24366872,0,0,0,STNWG,1,M,A,3
1.25,0.355920602,0,0,0,SEDAN,4,F,E,6
0.81,0.246406571,0,0,0,STNWG,4,F,A,2
1.04,0.251882272,0,0,0,HBACK,2,F,B,1
4.709,0.5229295,0,0,0,STNWG,1,M,A,4
0.99,0.197125257,0,0,0,SEDAN,4,F,B,2
0.65,0.145106092,0,0,0,STNWG,4,F,C,3
3.06,0.643394935,0,0,0,STNWG,3,M,D,4
1.18,0.145106092,0,0,0,STNWG,4,M,D,4
1.5,0.145106092,0,0,0,SEDAN,4,F,C,5
1.22,0.145106092,0,0,0,SEDAN,3,F,B,2
0.77,0.90349076,0,0,0,SEDAN,4,M,A,6
1.16,0.90349076,0,0,0,SEDAN,3,F,C,5
0.83,0.90349076,0,0,0,HBACK,3,M,B,4
2.23,0.90349076,0,0,0,STNWG,3,M,D,4
1.05,0.90349076,0,0,0,HBACK,2,M,E,6
1.56,0.221765914,0,0,0,HBACK,1,F,A,2
1.8,0.640657084,0,0,0,SEDAN,2,M,A,6
1.36,0.019164956,0,0,0,SEDAN,2,F,A,5
1.07,0.019164956,0,0,0,SEDAN,3,F,A,3
0.61,0.219028063,0,0,0,SEDAN,4,F,C,6
3.16,0.221765914,0,0,0,HBACK,1,F,A,4
1.43,0.856947296,0,0,0,HBACK,1,M,C,2
1.05,0.5229295,0,0,0,SEDAN,3,F,B,4
0.85,0.019164956,0,0,0,HBACK,3,F,C,3
1.17,0.219028063,0,0,0,SEDAN,3,M,B,4
1.33,0.821355236,0,0,0,HBACK,2,F,C,6
1.53,0.900752909,0,0,0,STNWG,4,M,A,5
1.6143,0.5229295,0,0,0,HBACK,1,F,E,4
1.28,0.065708419,0,0,0,SEDAN,3,M,C,3
0.35,0.640657084,0,0,0,SEDAN,4,M,A,1
2.899,0.5229295,0,0,0,HBACK,1,M,C,3
0.65,0.13963039,0,0,0,STNWG,4,F,B,3
2.34,0.5229295,0,0,0,STNWG,3,M,D,5
1.96,0.098562628,0,0,0,HBACK,3,F,C,1
1.38,0.060232717,0,0,0,HBACK,1,M,C,4
1.97,0.065708419,0,0,0,STNWG,3,F,C,3
0.85,0.845995893,0,0,0,SEDAN,4,M,A,3
1.34,0.24366872,0,0,0,SEDAN,3,F,B,4
1.96,0.27926078,0,0,0,STNWG,3,F,C,3
1.56,0.845995893,0,0,0,STNWG,4,M,F,5
1.39,0.900752909,0,0,0,STNWG,4,M,C,6
1.08,0.900752909,0,0,0,SEDAN,3,F,C,3
2.63,0.900752909,1,1,3361.729996,SEDAN,1,M,D,5
2.599,0.229979466,0,0,0,UTE,1,M,C,4
1.6,0.084873374,0,0,0,SEDAN,3,M,D,3
0.85,0.900752909,0,0,0,SEDAN,4,M,A,6
3.72,0.900752909,0,0,0,STNWG,1,F,A,3
1.38,0.900752909,0,0,0,HBACK,2,M,C,5
1.78,0.900752909,0,0,0,SEDAN,4,F,C,5
0.79,0.900752909,0,0,0,SEDAN,3,M,C,4
3.3,0.796714579,1,1,1864.089996,UTE,2,M,E,1
0.74,0.002737851,0,0,0,SEDAN,3,F,D,2
1.26,0.219028063,0,0,0,HBACK,1,F,C,1
2.74,0.219028063,0,0,0,STNWG,1,F,B,3
2.12,0.845995893,1,1,3682.25,STNWG,3,F,E,3
1.26,0.219028063,0,0,0,HBACK,2,F,C,5
1.35,0.6954141,0,0,0,HBACK,2,F,E,5
1.34,0.780287474,0,0,0,HBACK,1,F,A,1
3.12,0.219028063,1,1,200,SEDAN,3,F,B,2
1.26,0.219028063,0,0,0,HBACK,1,M,D,3
0.99,0.55578371,0,0,0,SEDAN,3,F,C,2
1.51,0.24366872,0,0,0,HDTOP,4,F,A,2
1.54,0.301163587,0,0,0,SEDAN,2,M,A,5
1.31,0.881587954,0,0,0,HBACK,2,F,C,5
1.13,0.755646817,0,0,0,STNWG,4,M,A,1
1.83,0.071184121,0,0,0,SEDAN,3,F,A,2
5.51,0.919917865,0,0,0,STNWG,2,F,F,3
2.53,0.216290212,0,0,0,UTE,2,F,F,2
1.49,0.216290212,0,0,0,HBACK,3,F,D,6
2.54,0.621492129,0,0,0,SEDAN,1,M,C,2
2.11,0.216290212,0,0,0,HBACK,1,M,A,4
3.99,0.898015058,0,0,0,TRUCK,1,M,F,4
1.78,0.509240246,0,0,0,SEDAN,2,M,B,6
1.93,0.128678987,0,0,0,SEDAN,2,M,B,4
1.22,0.060232717,0,0,0,HBACK,3,M,A,2
2.26,0.27926078,0,0,0,SEDAN,2,M,D,4
4.8,0.062970568,0,0,0,STNWG,1,F,F,2
1.15,0.062970568,0,0,0,HDTOP,4,M,D,1
0.55,0.062970568,0,0,0,SEDAN,4,F,B,4
0.7,0.506502396,0,0,0,UTE,4,M,B,3
1.349,0.783025325,0,0,0,HBACK,1,F,F,1
0.95,0.613278576,0,0,0,HBACK,3,F,C,3
0.87,0.613278576,0,0,0,HBACK,3,F,B,6
0.89,0.610540726,0,0,0,SEDAN,3,M,A,6
1.95,0.610540726,1,1,470.1099987,STNWG,3,M,D,4
5.74,0.613278576,0,0,0,SEDAN,2,M,A,1
0.68,0.613278576,0,0,0,HBACK,4,F,C,4
2.31,0.613278576,0,0,0,SEDAN,2,F,D,5
1.58,0.131416838,0,0,0,STNWG,3,F,D,2
4.31,0.610540726,0,0,0,STNWG,2,M,A,3
1.5,0.572210815,0,0,0,HBACK,1,F,B,3
6.16,0.213552361,0,0,0,STNWG,1,F,D,3
1.4,0.917180014,1,1,200,SEDAN,3,F,C,3
2.75,0.509240246,0,0,0,STNWG,1,F,D,3
0.34,0.216290212,1,1,640.727272,HBACK,4,F,A,4
1.33,0.509240246,0,0,0,HBACK,3,F,C,1
0.94,0.249144422,0,0,0,UTE,4,M,F,2
0.89,0.213552361,0,0,0,HBACK,3,M,A,5
1.98,0.169746749,0,0,0,SEDAN,2,F,A,5
2.17,0.837782341,0,0,0,HDTOP,3,F,F,3
1.23,0.216290212,0,0,0,HBACK,2,F,B,4
1.62,0.235455168,0,0,0,SEDAN,2,F,D,4
1.38,0.216290212,0,0,0,STNWG,4,F,B,4
1.52,0.213552361,0,0,0,SEDAN,3,F,D,3
3.55,0.607802875,0,0,0,STNWG,2,F,E,3
1.6835,0.391512663,0,0,0,HBACK,1,F,C,4
1.93,0.607802875,0,0,0,SEDAN,2,F,D,5
3.35,0.041067762,0,0,0,UTE,2,M,A,2
1.65,0.052019165,0,0,0,SEDAN,1,F,C,6
4.82,0.213552361,0,0,0,STNWG,1,F,F,4
1.26,0.76386037,0,0,0,HBACK,2,F,A,4
1.83,0.59137577,0,0,0,HBACK,1,F,B,1
0.9,0.235455168,0,0,0,HBACK,4,F,A,4
0.93,0.440793977,0,0,0,SEDAN,3,F,A,2
0.48,0.246406571,0,0,0,SEDAN,4,M,A,5
1.23,0.818617385,0,0,0,HBACK,2,F,C,4
1.18,0.235455168,0,0,0,STNWG,4,M,C,3
1.52,0.235455168,0,0,0,HBACK,3,F,D,3
0.37,0.213552361,0,0,0,SEDAN,4,F,D,3
0.7,0.511978097,0,0,0,STNWG,4,F,A,2
0.77,0.109514032,0,0,0,HBACK,4,F,D,1
1.97,0.213552361,0,0,0,SEDAN,1,F,C,5
3.43,0.213552361,0,0,0,STNWG,1,M,F,2
1.05,0.908966461,0,0,0,HBACK,2,F,B,2
0.72,0.013689254,0,0,0,HBACK,4,F,A,4
1.92,0.060232717,0,0,0,UTE,1,M,C,2
1.37,0.010951403,0,0,0,SEDAN,2,F,A,5
2.07,0.700889802,0,0,0,UTE,4,M,F,1
4,0.284736482,0,0,0,STNWG,3,F,C,6
0.84,0.629705681,0,0,0,HBACK,3,M,A,4
1.65,0.807665982,1,1,200,SEDAN,3,M,B,3
3,0.914442163,0,0,0,STNWG,3,F,A,2
3.17,0.232717317,0,0,0,UTE,1,F,C,5
2.05,0.213552361,0,0,0,HDTOP,3,F,B,4
1.58,0.602327173,0,0,0,SEDAN,3,F,D,5
0.77,0.213552361,0,0,0,HBACK,3,F,A,2
1.13,0.602327173,0,0,0,TRUCK,4,M,E,6
2.85,0.602327173,0,0,0,STNWG,3,M,A,6
4.31,0.616016427,0,0,0,STNWG,2,M,D,6
4.25,0.396988364,1,1,353.77,STNWG,2,M,B,4
2.8,0.213552361,0,0,0,STNWG,2,M,D,2
1.2,0.599589322,0,0,0,SEDAN,3,F,C,4
0.43,0.599589322,0,0,0,HBACK,4,F,C,3
1.63,0.213552361,0,0,0,SEDAN,1,F,C,2
3.38,0.073921971,0,0,0,UTE,1,F,D,2
1.54,0.602327173,0,0,0,TRUCK,4,M,D,4
0.95,0.065708419,0,0,0,SEDAN,4,F,A,5
0.45,0.602327173,0,0,0,HBACK,4,F,C,5
1.6,0.213552361,0,0,0,UTE,3,M,F,4
2.38,0.213552361,0,0,0,SEDAN,2,F,C,1
1.75,0.396988364,0,0,0,SEDAN,2,F,A,2
0.51,0.52019165,0,0,0,SEDAN,4,M,C,4
1.15,0.599589322,0,0,0,HBACK,3,M,B,4
0.91,0.605065024,0,0,0,SEDAN,4,M,C,3
1.97,0.599589322,0,0,0,STNWG,3,F,D,4
1.86,0.213552361,0,0,0,HBACK,1,F,F,1
5.82,0.402464066,0,0,0,STNWG,1,M,C,5
1.25,0.402464066,0,0,0,STNWG,4,M,F,3
0.92,0.399726215,0,0,0,HBACK,3,F,C,6
1.76,0.399726215,0,0,0,HBACK,2,F,C,3
1.03,0.13963039,0,0,0,SEDAN,3,M,B,3
5.67,0.462696783,0,0,0,STNWG,1,F,C,5
1.94,0.396988364,0,0,0,HBACK,1,M,C,5
1.07,0.629705681,0,0,0,SEDAN,4,F,A,5
1.13,0.396988364,0,0,0,HBACK,3,F,A,6
1.84,0.887063655,0,0,0,SEDAN,1,F,A,3
0.44,0.210814511,0,0,0,SEDAN,4,F,C,2
2.96,0.010951403,0,0,0,STNWG,2,F,B,3
1.02,0.087611225,0,0,0,SEDAN,4,M,E,3
0.46,0.558521561,0,0,0,TRUCK,4,F,E,5
2.24,0.629705681,0,0,0,UTE,3,M,A,2
1.46,0.369609856,0,0,0,SEDAN,2,F,D,4
0.91,0.369609856,0,0,0,SEDAN,3,F,C,4
1.65,0.758384668,0,0,0,SEDAN,2,F,C,4
2.68,0.887063655,0,0,0,SEDAN,1,F,B,4
1.35,0.533880904,0,0,0,HBACK,1,F,D,2
4.33,0.232717317,0,0,0,STNWG,1,F,F,3
0.41,0.898015058,0,0,0,SEDAN,4,M,A,6
1.98,0.898015058,0,0,0,SEDAN,2,M,C,5
1.36,0.898015058,0,0,0,SEDAN,3,F,D,4
2.44,0.898015058,0,0,0,SEDAN,1,F,C,5
0.94,0.898015058,0,0,0,HBACK,4,F,B,6
1.21,0.503764545,0,0,0,SEDAN,3,F,C,2
0.77,0.583162218,0,0,0,HBACK,3,M,C,2
0.67,0.008213552,0,0,0,STNWG,4,F,C,2
1.82,0.898015058,0,0,0,SEDAN,2,M,D,3
0.92,0.476386037,1,1,1449.143635,HBACK,4,M,C,3
1.42,0.788501027,0,0,0,HBACK,3,F,D,3
1.71,0.13963039,0,0,0,HBACK,1,M,B,6
1.83,0.112251882,0,0,0,SEDAN,3,F,A,1
2.54,0.142368241,0,0,0,STNWG,2,F,C,5
0.66,0.810403833,0,0,0,HBACK,4,F,A,5
0.69,0.071184121,0,0,0,SEDAN,4,F,C,3
1.76,0.136892539,0,0,0,HBACK,1,F,B,5
2.27,0.136892539,0,0,0,SEDAN,1,M,A,4
3.32,0.503764545,1,2,959.4199991,STNWG,1,F,C,5
1.02,0.783025325,0,0,0,STNWG,4,F,B,2
1.5,0.210814511,0,0,0,SEDAN,3,F,A,1
2.51,0.859685147,0,0,0,STNWG,3,M,E,2
1.12,0.136892539,0,0,0,STNWG,4,M,A,3
1.56,0.271047228,1,1,252.3899994,HDTOP,4,M,D,2
4.29,0.13963039,0,0,0,STNWG,1,F,D,2
0.89,0.136892539,0,0,0,UTE,3,F,B,5
4.71,0.788501027,0,0,0,STNWG,1,F,E,4
1.12,0.142368241,0,0,0,SEDAN,3,F,C,6
3.17,0.585900068,0,0,0,STNWG,2,M,B,2
0.71,0.709103354,0,0,0,HBACK,4,M,A,3
0.72,0.503764545,0,0,0,HBACK,3,F,C,4
1,0.205338809,0,0,0,SEDAN,3,F,D,2
1.43,0.229979466,0,0,0,HBACK,1,M,C,4
1.65,0.309377139,0,0,0,SEDAN,1,F,C,2
1.59,0.700889802,0,0,0,SEDAN,3,M,C,6
1.53,0.093086927,0,0,0,UTE,4,F,D,3
1.22,0.501026694,0,0,0,UTE,4,M,D,3
1.28,0.290212183,0,0,0,TRUCK,4,M,D,3
0.67,0.59137577,0,0,0,SEDAN,4,M,A,6
1.86,0.5229295,0,0,0,SEDAN,1,F,A,2
1.92,0.10403833,0,0,0,SEDAN,2,M,A,3
2.06,0.043805613,0,0,0,STNWG,2,F,B,2
2.199,0.10403833,0,0,0,SEDAN,1,F,E,6
1.18,0.895277207,0,0,0,SEDAN,3,M,C,4
1.66,0.895277207,0,0,0,SEDAN,2,F,C,5
1.54,0.117727584,0,0,0,SEDAN,2,F,A,5
0.87,0.832306639,0,0,0,HBACK,3,F,B,2
2.78,0.991101985,0,0,0,STNWG,2,F,A,1
1.63,0.394250513,0,0,0,HBACK,2,M,C,6
1.06,0.265571526,1,1,353.77,HBACK,4,F,C,2
2.76,0.832306639,0,0,0,HBACK,1,F,D,4
2.1,0.093086927,0,0,0,UTE,4,F,E,3
3.36,0.394250513,0,0,0,STNWG,2,F,A,5
0.78,0.605065024,0,0,0,SEDAN,4,F,B,3
3.34,0.394250513,0,0,0,STNWG,3,M,C,3
1.03,0.134154689,0,0,0,SEDAN,3,F,C,5
0.7,0.079397673,0,0,0,HBACK,3,M,C,5
1.7,0.884325804,0,0,0,HBACK,1,M,A,1
1.87,0.884325804,0,0,0,SEDAN,2,F,C,2
2.63,0.501026694,0,0,0,STNWG,3,F,E,3
1.9,0.501026694,0,0,0,STNWG,3,M,B,1
1.47,0.498288843,0,0,0,SEDAN,2,M,A,5
0.65,0.005475702,0,0,0,HBACK,3,F,C,3
5.18,0.48733744,0,0,0,SEDAN,2,F,B,3
1.38,0.227241615,0,0,0,SEDAN,3,M,A,6
1.07,0.698151951,0,0,0,SEDAN,3,F,A,4
1.83,0.202600958,0,0,0,UTE,3,M,E,1
1.34,0.235455168,0,0,0,HBACK,3,F,E,6
4.25,0.55578371,0,0,0,STNWG,2,M,E,2
1.35,0.498288843,0,0,0,HBACK,1,M,A,3
1.07,0.840520192,0,0,0,HBACK,3,F,B,5
1.23,0.829568789,0,0,0,HBACK,3,F,C,2
0.95,0.350444901,0,0,0,SEDAN,4,F,A,1
3.46,0.673511294,0,0,0,HDTOP,2,M,F,2
1.9,0.227241615,0,0,0,HBACK,2,F,A,4
0.57,0.772073922,0,0,0,HBACK,4,M,D,1
0.43,0.284736482,0,0,0,HBACK,4,F,C,3
1.26,0.55578371,0,0,0,SEDAN,3,F,C,3
1.38,0.295687885,0,0,0,SEDAN,3,M,D,3
1.33,0.596851472,0,0,0,SEDAN,3,F,A,5
0.95,0.402464066,0,0,0,SEDAN,4,M,C,2
2.93,0.17522245,0,0,0,STNWG,3,F,D,2
4.2,0.281998631,0,0,0,STNWG,2,M,A,5
1.6,0.881587954,0,0,0,TRUCK,1,M,A,3
0.86,0.6954141,0,0,0,UTE,3,M,A,5
0.85,0.881587954,0,0,0,HBACK,3,F,E,5
0.37,0.826830938,0,0,0,HBACK,4,M,B,3
1.13,0.317590691,0,0,0,HBACK,2,F,C,2
2.87,0.996577687,0,0,0,STNWG,2,F,B,4
1.41,0.1724846,0,0,0,HBACK,2,F,C,2
2.77,0.922655715,1,1,353.77,STNWG,1,F,C,2
0.84,0.802190281,0,0,0,SEDAN,4,M,B,2
1.14,0.826830938,0,0,0,SEDAN,3,M,A,1
1.428,0.826830938,0,0,0,HBACK,1,F,D,5
1.41,0.536618754,0,0,0,SEDAN,3,F,B,1
0.7,0.386036961,0,0,0,SEDAN,4,M,A,6
1.98,0.002737851,0,0,0,SEDAN,1,F,C,4
0.45,0.391512663,0,0,0,SEDAN,4,F,C,5
1.02,0.476386037,0,0,0,HBACK,4,M,A,4
1.34,0.114989733,0,0,0,SEDAN,3,F,D,3
1.84,0.388774812,0,0,0,HBACK,2,F,A,5
1.91,0.492813142,0,0,0,SEDAN,2,M,C,2
1.82,0.878850103,0,0,0,STNWG,4,M,D,4
4.09,0.826830938,0,0,0,UTE,1,M,D,3
0.79,0.391512663,0,0,0,HBACK,3,F,A,4
0.89,0.199863108,0,0,0,SEDAN,4,M,B,4
0.88,0.613278576,0,0,0,TRUCK,4,M,F,2
2.37,0.495550993,0,0,0,STNWG,4,M,A,4
2.02,0.180698152,0,0,0,HBACK,1,M,B,4
2.64,0.227241615,0,0,0,STNWG,3,M,C,4
1.45,0.777549624,0,0,0,SEDAN,4,F,F,3
2.28,0.388774812,0,0,0,HBACK,3,F,A,4
1.33,0.388774812,0,0,0,STNWG,4,M,B,6
3.44,0.120465435,0,0,0,STNWG,3,F,D,2
0.89,0.197125257,0,0,0,HBACK,3,F,C,4
1.41,0.199863108,0,0,0,HBACK,1,F,D,4
1.41,0.492813142,0,0,0,UTE,3,M,D,4
1,0.490075291,0,0,0,HBACK,2,F,A,4
2.99,0.41889117,0,0,0,STNWG,3,F,F,2
1.16,0.533880904,0,0,0,HBACK,2,F,C,1
2.92,0.120465435,0,0,0,SEDAN,1,M,C,1
0.54,0.344969199,0,0,0,HBACK,4,F,B,3
1.42,0.876112252,1,1,200,SEDAN,3,F,C,3
4.47,0.878850103,0,0,0,STNWG,1,M,C,2
1.37,0.533880904,0,0,0,HBACK,1,M,C,4
1.38,0.594113621,0,0,0,STNWG,3,M,A,6
1.47,0.594113621,0,0,0,SEDAN,3,F,C,1
1.92,0.120465435,0,0,0,HBACK,2,M,B,2
1.38,0.594113621,1,1,200.0036352,SEDAN,3,M,C,3
2.79,0.594113621,0,0,0,SEDAN,1,M,C,6
1.46,0.802190281,0,0,0,TRUCK,4,F,A,3
1.19,0.703627652,1,1,5082.779999,SEDAN,3,F,C,2
0.83,0.339493498,0,0,0,SEDAN,3,F,E,4
2.28,0.197125257,0,0,0,STNWG,3,M,C,4
1.39,0.197125257,0,0,0,UTE,2,M,F,2
2.32,0.281998631,0,0,0,STNWG,3,M,F,4
1.6835,0.802190281,0,0,0,HBACK,1,F,A,4
1.74,0.887063655,0,0,0,HBACK,2,M,B,2
5.553,0.484599589,0,0,0,STNWG,1,M,B,4
0.96,0.892539357,0,0,0,STNWG,4,M,D,5
0.78,0.188911704,0,0,0,HBACK,3,F,B,4
0.45,0.112251882,0,0,0,HBACK,4,F,B,5
0.46,0.900752909,0,0,0,SEDAN,4,F,A,5
4.64,0.197125257,0,0,0,STNWG,1,M,C,4
4.63,0.440793977,0,0,0,STNWG,1,M,D,5
0.62,0.528405202,0,0,0,STNWG,4,F,C,4
1.13,0.887063655,0,0,0,STNWG,4,M,B,3
2.39,0.892539357,0,0,0,STNWG,3,M,F,6
0.43,0.525667351,1,1,200,HBACK,4,M,A,4
2.2,0.892539357,1,1,353.77,STNWG,3,F,D,4
3.77,0.109514032,0,0,0,STNWG,2,M,C,5
1.87,0.005475702,0,0,0,SEDAN,2,F,A,2
0.4,0.889801506,0,0,0,SEDAN,4,F,A,5
4.21,0.889801506,0,0,0,STNWG,1,M,C,3
0.66,0.109514032,0,0,0,SEDAN,4,F,D,5
1.37,0.887063655,1,1,736.9399986,HBACK,3,M,A,4
4.932,0.34770705,0,0,0,STNWG,1,M,C,4
1.13,0.616016427,0,0,0,UTE,4,F,D,2
1.59,0.005475702,0,0,0,SEDAN,3,F,B,4
1.89,0.005475702,0,0,0,SEDAN,2,M,A,4
1.82,0.87063655,0,0,0,SEDAN,2,F,A,4
1.35,0.210814511,0,0,0,HBACK,1,F,D,6
1.15,0.459958932,0,0,0,SEDAN,3,M,A,2
1.44,0.413415469,0,0,0,SEDAN,3,M,A,4
1.64,0.62422998,0,0,0,STNWG,3,F,A,3
0.94,0.128678987,0,0,0,SEDAN,4,M,E,4
0.66,0.128678987,0,0,0,HBACK,4,F,E,5
2.42,0.128678987,0,0,0,STNWG,3,M,A,5
1.97,0.128678987,0,0,0,SEDAN,2,F,C,6
1.03,0.128678987,0,0,0,SEDAN,3,F,D,5
0.99,0.128678987,0,0,0,STNWG,4,F,A,4
0.98,0.87063655,0,0,0,SEDAN,3,M,A,4
1.94,0.884325804,0,0,0,STNWG,4,F,F,5
0.51,0.878850103,0,0,0,HBACK,4,F,C,3
0.75,0.884325804,0,0,0,SEDAN,4,F,B,3
1.54,0.804928131,0,0,0,SEDAN,2,F,B,2
3.58,0.87063655,0,0,0,STNWG,2,F,F,2
0.41,0.48733744,0,0,0,HBACK,4,F,D,4
0.6,0.48733744,0,0,0,SEDAN,4,M,B,4
1.07,0.421629021,0,0,0,STNWG,4,M,C,3
1.87,0.525667351,0,0,0,SEDAN,2,F,C,3
0.37,0.476386037,0,0,0,HBACK,4,F,E,3
1.33,0.210814511,0,0,0,HBACK,2,F,A,4
1.12,0.177960301,0,0,0,SEDAN,3,M,C,4
5.236,0.851471595,0,0,0,STNWG,1,F,D,4
0.74,0.125941136,0,0,0,SEDAN,4,F,C,6
0.77,0.125941136,0,0,0,HBACK,3,M,A,5
1.97,0.873374401,1,1,389.9499998,SEDAN,2,F,F,5
2.77,0.202600958,0,0,0,STNWG,3,M,B,3
0.91,0.125941136,0,0,0,HBACK,3,M,B,3
2.11,0.772073922,0,0,0,STNWG,4,M,D,2
0.45,0.262833676,0,0,0,SEDAN,4,M,B,5
3.03,0.205338809,0,0,0,STNWG,3,M,D,2
2.4,0.205338809,0,0,0,STNWG,3,F,F,3
1.49,0.303901437,0,0,0,STNWG,4,F,C,3
1.94,0.213552361,0,0,0,SEDAN,1,F,F,2
2.41,0.005475702,1,1,16306.81998,TRUCK,3,M,D,3
1.86,0.131416838,0,0,0,HBACK,2,F,A,3
1.93,0.881587954,0,0,0,STNWG,4,M,B,6
0.73,0.881587954,0,0,0,SEDAN,4,F,A,5
2.5,0.76386037,1,1,200,STNWG,2,F,A,4
0.76,0.191649555,0,0,0,UTE,4,M,C,2
0.93,0.881587954,0,0,0,SEDAN,3,M,B,3
1.47,0.525667351,1,1,2031.079998,SEDAN,3,F,A,1
2.71,0.501026694,1,1,2262.379997,STNWG,2,M,D,3
3.97,0.191649555,0,0,0,STNWG,2,M,A,4
0.44,0.109514032,1,1,3679.089996,SEDAN,4,F,A,2
3.14,0.213552361,0,0,0,HDTOP,2,M,E,2
1,0.38329911,0,0,0,SEDAN,3,M,D,6
1.44,0.052019165,0,0,0,SEDAN,2,M,B,2
1.19,0.131416838,0,0,0,HBACK,4,F,D,2
0.7,0.616016427,0,0,0,SEDAN,4,M,C,4
2.13,0.38329911,0,0,0,STNWG,3,M,B,2
1.85,0.8678987,0,0,0,HBACK,2,F,B,2
4.47,0.8678987,0,0,0,STNWG,1,F,F,2
1.46,0.563997262,0,0,0,SEDAN,3,M,C,2
